patch_id,scene_class,region_id,patch_execution_status,metric_cache_read_s,esri_patch_cache_status,esri_patch_load_s,synthetic_build_s,spectral_analysis_s,checkpoint_write_s,patch_wall_s,peak_gpu_memory_mib,operator_nnz_total,healpix_cells_max,rss_start_mib,rss_end_mib,cleanup_s,peak_rss_mib,rss_after_cleanup_mib,run_sequence,benchmark_included
forest__black_forest__r1c2,forest,black_forest,computed,0.0,zarr_hit,0.03137117810547352,1.0494874729774892,0.008557328023016453,0.02005671802908182,8.463346194010228,1382.25537109375,5177344.0,172976,18893.78515625,18893.78515625,0.18256439315155149,18893.78515625,18893.78125,222,True
forest__black_forest__r2c0,forest,black_forest,computed,0.0,zarr_hit,0.030488846823573112,1.0481536169536412,0.008784397970885038,0.0170938060618937,7.998931857291609,1382.25537109375,5177344.0,172968,18893.78515625,18893.78515625,0.2207227861508727,18893.78515625,18893.78125,223,True
forest__black_forest__r2c1,forest,black_forest,computed,0.0,zarr_hit,0.03155407402664423,1.321469736751169,0.009030714631080627,0.010678716003894806,8.647101822309196,1382.25537109375,5177344.0,172981,18893.78515625,18894.53125,0.18264345219358802,18894.53125,18894.52734375,224,True
forest__black_forest__r2c2,forest,black_forest,computed,0.0,zarr_hit,0.023700359277427197,1.039921194780618,0.008493547793477774,0.017601146828383207,8.455431233160198,1021.38134765625,5177344.0,172977,18894.53125,18894.66796875,0.18434861302375793,18894.66796875,18894.6640625,225,True
forest__canadian_rockies__r0c0,forest,canadian_rockies,computed,0.0,zarr_hit,0.04260906297713518,1.5358060062862933,0.008460874669253826,0.015628742054104805,9.559337688144296,1021.35400390625,5177344.0,172808,18894.66796875,18894.80078125,0.18215481704100966,18894.80078125,18894.796875,226,True
forest__canadian_rockies__r0c1,forest,canadian_rockies,computed,0.0,zarr_hit,0.0261584953404963,1.1101029207929969,0.008485792204737663,0.01086724316701293,9.67981136823073,1021.357421875,5177344.0,172803,18894.80078125,18895.13671875,0.1817908282391727,18895.13671875,18895.1328125,227,True
forest__canadian_rockies__r0c2,forest,canadian_rockies,computed,0.0,zarr_hit,0.026881495025008917,1.1082802778109908,0.009232285898178816,0.01504845218732953,9.757725348696113,1021.35400390625,5177344.0,172811,18895.13671875,18895.13671875,0.2249008291400969,18895.13671875,18895.1328125,228,True
forest__canadian_rockies__r1c0,forest,canadian_rockies,computed,0.0,zarr_hit,0.02627059817314148,1.1131300553679466,0.008534605149179697,0.02026807889342308,9.744525558315217,1021.353515625,5177344.0,172819,18895.13671875,18895.75,0.18994927033782005,18895.75,18895.74609375,229,True
forest__canadian_rockies__r1c1,forest,canadian_rockies,computed,0.0,zarr_hit,0.03664244199171662,1.1211846200749278,0.008678106125444174,0.02487351093441248,9.339706589002162,1021.35400390625,5177344.0,172808,18895.75,18895.93359375,0.18249702593311667,18895.93359375,18895.9296875,230,True
forest__canadian_rockies__r1c2,forest,canadian_rockies,computed,0.0,zarr_hit,0.02533911308273673,1.5657940949313343,0.008587996009737253,0.03203976480290294,10.072453184053302,1021.35400390625,5177344.0,172805,18895.93359375,18896.08984375,0.18796641379594803,18896.08984375,18896.0859375,231,True
forest__canadian_rockies__r2c0,forest,canadian_rockies,computed,0.0,zarr_hit,0.029763131868094206,1.1163539211265743,0.008892551995813847,0.014694711659103632,9.512731042224914,1021.35400390625,5177344.0,172814,18896.08984375,18896.12109375,0.2241709870286286,18896.12109375,18896.1171875,232,True
forest__canadian_rockies__r2c1,forest,canadian_rockies,computed,0.0,zarr_hit,0.033989657647907734,1.1214248747564852,0.008783455938100815,0.027007342781871557,9.824094806332141,1021.35400390625,5177344.0,172804,18896.12109375,18896.12109375,0.1849652510136366,18896.12109375,18896.1171875,233,True
