patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,patch_row,patch_col
water__lake_victoria__r0c2,water,lake_victoria,Lake Victoria,-1.0,33.0,-1.0361889347151867,33.03595282771507,00-15,32736,4000.0,-4000.0,0,2
water__lake_victoria__r1c0,water,lake_victoria,Lake Victoria,-1.0,33.0,-0.9999998018431085,32.96404757313427,00-15,32736,-4000.0,0.0,1,0
water__lake_victoria__r1c1,water,lake_victoria,Lake Victoria,-1.0,33.0,-0.9999999999999957,33.0,00-15,32736,0.0,0.0,1,1
water__lake_victoria__r1c2,water,lake_victoria,Lake Victoria,-1.0,33.0,-0.9999998018431085,33.03595242686573,00-15,32736,4000.0,0.0,1,2
water__lake_victoria__r2c0,water,lake_victoria,Lake Victoria,-1.0,33.0,-0.9638106609604543,32.96404795972799,00-15,32736,-4000.0,4000.0,2,0
water__lake_victoria__r2c1,water,lake_victoria,Lake Victoria,-1.0,33.0,-0.9638108519448894,33.0,00-15,32736,0.0,4000.0,2,1
water__lake_victoria__r2c2,water,lake_victoria,Lake Victoria,-1.0,33.0,-0.9638106609604543,33.03595204027201,00-15,32736,4000.0,4000.0,2,2
water__lake_titicaca__r0c0,water,lake_titicaca,Lake Titicaca,-15.8,-69.4,-15.83608924910252,-69.43742591070479,15-30,32719,-4000.0,-4000.0,0,0
water__lake_titicaca__r0c1,water,lake_titicaca,Lake Titicaca,-15.8,-69.4,-15.836161370527593,-69.40007108737676,15-30,32719,0.0,-4000.0,0,1
water__lake_titicaca__r0c2,water,lake_titicaca,Lake Titicaca,-15.8,-69.4,-15.83622705865855,-69.36271608034622,15-30,32719,4000.0,-4000.0,0,2
water__lake_titicaca__r1c0,water,lake_titicaca,Lake Titicaca,-15.8,-69.4,-15.799928051608038,-69.43734818636031,15-30,32719,-4000.0,0.0,1,0
water__lake_titicaca__r1c1,water,lake_titicaca,Lake Titicaca,-15.8,-69.4,-15.8,-69.4,15-30,32719,0.0,0.0,1,1
water__lake_titicaca__r1c2,water,lake_titicaca,Lake Titicaca,-15.8,-69.4,-15.800065530532443,-69.36265163009068,15-30,32719,4000.0,0.0,1,2
water__lake_titicaca__r2c0,water,lake_titicaca,Lake Titicaca,-15.8,-69.4,-15.76376673359853,-69.43727066270147,15-30,32719,-4000.0,4000.0,2,0
water__lake_titicaca__r2c1,water,lake_titicaca,Lake Titicaca,-15.8,-69.4,-15.76383850901652,-69.39992909617239,15-30,32719,0.0,4000.0,2,1
water__lake_titicaca__r2c2,water,lake_titicaca,Lake Titicaca,-15.8,-69.4,-15.763903882004312,-69.36258734624727,15-30,32719,4000.0,4000.0,2,2
water__lake_taupo__r0c0,water,lake_taupo,Lake Taupo,-38.78,176.06,-38.81566187073572,176.01345833384605,30-45,32760,-4000.0,-4000.0,0,0
water__lake_taupo__r0c1,water,lake_taupo,Lake Taupo,-38.78,176.06,-38.81604181387148,176.05952638784726,30-45,32760,0.0,-4000.0,0,1
water__lake_taupo__r0c2,water,lake_taupo,Lake Taupo,-38.78,176.06,-38.8164035951402,176.10559529033287,30-45,32760,4000.0,-4000.0,0,2
water__lake_taupo__r1c0,water,lake_taupo,Lake Taupo,-38.78,176.06,-38.77962054284687,176.01395513641307,30-45,32760,-4000.0,0.0,1,0
