asset_id,category,source,source_identifier,relative_path,kind,required_by,expected_shape,status,bytes,sha256,archive_doi,notes
esri_multipatch_urban__mexico_city__r0c0,primary_input,Esri World Imagery,zoom=17;lat=19.396419093262978;lon=-99.17126634016445,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__mexico_city__r0c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__mexico_city__r0c1,primary_input,Esri World Imagery,zoom=17;lat=19.396450987683966;lon=-99.13317056114029,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__mexico_city__r0c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__mexico_city__r0c2,primary_input,Esri World Imagery,zoom=17;lat=19.396474899912338;lon=-99.0950747164355,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__mexico_city__r0c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__mexico_city__r1c0,primary_input,Esri World Imagery,zoom=17;lat=19.432568041496072;lon=-99.17130420043806,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__mexico_city__r1c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__mexico_city__r1c1,primary_input,Esri World Imagery,zoom=17;lat=19.4326;lon=-99.1332,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__mexico_city__r1c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__mexico_city__r1c2,primary_input,Esri World Imagery,zoom=17;lat=19.43262396027334;lon=-99.09509573381472,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__mexico_city__r1c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__mexico_city__r2c0,primary_input,Esri World Imagery,zoom=17;lat=19.46871684584549;lon=-99.17134214526682,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__mexico_city__r2c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__mexico_city__r2c1,primary_input,Esri World Imagery,zoom=17;lat=19.468748868459762;lon=-99.13322950460694,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__mexico_city__r2c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__mexico_city__r2c2,primary_input,Esri World Imagery,zoom=17;lat=19.468772876798614;lon=-99.09511679813309,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__mexico_city__r2c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__tokyo__r0c0,primary_input,Esri World Imagery,zoom=17;lat=35.63964131912426;lon=139.6067378271551,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__tokyo__r0c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
